"","X","X1","row","replicate","delta_env","delta_gen","sample_size","n_pop","std_dev","interaction","gen","env","noise","int","gen_factor","exp_env_factor","phen","phen_corrected"
"66",1246546,66,11480,2,0.5,0.01,5,5,1,2.5,3,4,0.31818927742749,2.52463972117775,"G_3","E_4",4.87282899860524,1.0178461295636
"67",1246547,67,11480,2,0.5,0.01,5,5,1,2.5,3,4,1.47904919087329,2.52463972117775,"G_3","E_4",6.03368891205104,1.42315768744183
"68",1246548,68,11480,2,0.5,0.01,5,5,1,2.5,3,4,-0.488130359372787,2.52463972117775,"G_3","E_4",4.06650936180496,0.736321490497329
"69",1246549,69,11480,2,0.5,0.01,5,5,1,2.5,3,4,-1.03254462500979,2.52463972117775,"G_3","E_4",3.52209509616795,0.54624050692586
"70",1246550,70,11480,2,0.5,0.01,5,5,1,2.5,3,4,-0.286082025791134,2.52463972117775,"G_3","E_4",4.26855769538661,0.806866199554943
"71",1246551,71,11480,2,0.5,0.01,5,5,1,2.5,3,5,-0.158685182886178,-5.46772644724006,"G_3","E_5",-3.09641163012624,-1.76459583171484
"72",1246552,72,11480,2,0.5,0.01,5,5,1,2.5,3,5,0.800716776060882,-5.46772644724006,"G_3","E_5",-2.13700967117918,-1.42962285340085
"73",1246553,73,11480,2,0.5,0.01,5,5,1,2.5,3,5,-0.549397088184876,-5.46772644724006,"G_3","E_5",-3.48712353542494,-1.90101199113594
"74",1246554,74,11480,2,0.5,0.01,5,5,1,2.5,3,5,1.66134405026556,-5.46772644724006,"G_3","E_5",-1.27638239697451,-1.12913682815343
"75",1246555,75,11480,2,0.5,0.01,5,5,1,2.5,3,5,1.79532425380994,-5.46772644724006,"G_3","E_5",-1.14240219343012,-1.08235794950112
"76",1246556,76,11480,2,0.5,0.01,5,5,1,2.5,4,1,0.430598689828269,-0.946674257973052,"G_4","E_1",0.023924431855217,-0.67513770180899
"77",1246557,77,11480,2,0.5,0.01,5,5,1,2.5,4,1,-0.819905553327317,-0.946674257973052,"G_4","E_1",-1.22657981130037,-1.11174837037989
"78",1246558,78,11480,2,0.5,0.01,5,5,1,2.5,4,1,0.573848649468798,-0.946674257973052,"G_4","E_1",0.167174391495746,-0.625122309223373
"79",1246559,79,11480,2,0.5,0.01,5,5,1,2.5,4,1,0.195389165259932,-0.946674257973052,"G_4","E_1",-0.21128509271312,-0.757260564116822
"80",1246560,80,11480,2,0.5,0.01,5,5,1,2.5,4,1,-1.12711244979174,-0.946674257973052,"G_4","E_1",-1.53378670776479,-1.2190089488138
"81",1246561,81,11480,2,0.5,0.01,5,5,1,2.5,4,2,0.398707192810433,2.59074503289454,"G_4","E_2",4.02945222570497,0.723383077008135
"82",1246562,82,11480,2,0.5,0.01,5,5,1,2.5,4,2,-0.202847871090841,2.59074503289454,"G_4","E_2",3.4278971618037,0.513351515684222
"83",1246563,83,11480,2,0.5,0.01,5,5,1,2.5,4,2,-0.608217149109155,2.59074503289454,"G_4","E_2",3.02252788378538,0.371817768427949
"84",1246564,84,11480,2,0.5,0.01,5,5,1,2.5,4,2,3.49183796718753,2.59074503289454,"G_4","E_2",7.12258300008207,1.80334254357508
"85",1246565,85,11480,2,0.5,0.01,5,5,1,2.5,4,2,-0.269887015427054,2.59074503289454,"G_4","E_2",3.36085801746749,0.489944953260096
