"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"112","G_21",-0.722329329569342,"G_2","E_2",0.386559462198288,"mean.ne",1012
"113","1",0.180989800424187,"G_1","E_1",1.30116906213666,"raw",1013
"114","2",0.600884675131588,"G_2","E_2",-0.519294586580886,"raw",1013
"115","G_1",0.180989800424187,"G_1","E_1",1.30116906213666,"means",1013
"116","G_2",0.600884675131588,"G_2","E_2",-0.519294586580887,"means",1013
"117","11",0.147517002691257,"G_1","E_1",0.757990632318665,"raw.ne",1013
"118","21",-0.147517002691257,"G_2","E_2",-0.757990632318665,"raw.ne",1013
"119","G_11",0.147517002691257,"G_1","E_1",0.757990632318665,"mean.ne",1013
"120","G_21",-0.147517002691257,"G_2","E_2",-0.757990632318665,"mean.ne",1013
"121","1",0.989825331489028,"G_1","E_1",-1.0227105215348,"raw",1014
"122","2",-0.645777703021787,"G_2","E_2",1.36675815000204,"raw",1014
"123","G_1",0.989825331489028,"G_1","E_1",-1.0227105215348,"means",1014
"124","G_2",-0.645777703021787,"G_2","E_2",1.36675815000204,"means",1014
"125","11",0.76302257633837,"G_1","E_1",-0.407268533021318,"raw.ne",1014
"126","21",-0.763022576338371,"G_2","E_2",0.407268533021317,"raw.ne",1014
"127","G_11",0.763022576338371,"G_1","E_1",-0.407268533021317,"mean.ne",1014
"128","G_21",-0.763022576338371,"G_2","E_2",0.407268533021317,"mean.ne",1014
"129","1",0.0926773883567696,"G_1","E_1",-0.140993301871687,"raw",1015
"130","2",-0.0830722016937204,"G_2","E_2",0.150598488534736,"raw",1015
"131","G_1",0.0926773883567698,"G_1","E_1",-0.140993301871687,"means",1015
"132","G_2",-0.0830722016937204,"G_2","E_2",0.150598488534737,"means",1015
"133","11",-0.290181547687457,"G_1","E_1",-0.814430189017936,"raw.ne",1015
"134","21",0.290181547687456,"G_2","E_2",0.814430189017935,"raw.ne",1015
"135","G_11",-0.290181547687456,"G_1","E_1",-0.814430189017936,"mean.ne",1015
"136","G_21",0.290181547687457,"G_2","E_2",0.814430189017936,"mean.ne",1015
"137","1",-0.946480171666708,"G_1","E_1",-1.17689191637495,"raw",1016
"138","2",0.22964391424544,"G_2","E_2",0.460055658953682,"raw",1016
"139","G_1",-0.946480171666708,"G_1","E_1",-1.17689191637495,"means",1016
"140","G_2",0.22964391424544,"G_2","E_2",0.460055658953682,"means",1016
"141","11",-0.481789435533173,"G_1","E_1",-0.715412477825139,"raw.ne",1016
"142","21",0.481789435533174,"G_2","E_2",0.715412477825139,"raw.ne",1016
"143","G_11",-0.481789435533174,"G_1","E_1",-0.715412477825139,"mean.ne",1016
"144","G_21",0.481789435533173,"G_2","E_2",0.715412477825139,"mean.ne",1016
"145","1",-0.0856428515019173,"G_1","E_1",0.0929101564479085,"raw",1017
"146","2",0.25719204310381,"G_2","E_2",0.0786390351539845,"raw",1017
"147","G_1",-0.0856428515019171,"G_1","E_1",0.0929101564479088,"means",1017
"148","G_2",0.25719204310381,"G_2","E_2",0.0786390351539843,"means",1017
"149","11",0.0204955055121018,"G_1","E_1",0.254053555791397,"raw.ne",1017
"150","21",-0.0204955055121018,"G_2","E_2",-0.254053555791397,"raw.ne",1017
"151","G_11",0.0204955055121017,"G_1","E_1",0.254053555791397,"mean.ne",1017
"152","G_21",-0.0204955055121018,"G_2","E_2",-0.254053555791397,"mean.ne",1017
"153","1",0.866082289887043,"G_1","E_1",0.452504185029766,"raw",1018
"154","2",-0.770320762990764,"G_2","E_2",-0.356742658133487,"raw",1018
"155","G_1",0.866082289887043,"G_1","E_1",0.452504185029766,"means",1018
"156","G_2",-0.770320762990764,"G_2","E_2",-0.356742658133487,"means",1018
"157","11",0.548182087348497,"G_1","E_1",-0.157781871053177,"raw.ne",1018
"158","21",-0.548182087348498,"G_2","E_2",0.157781871053176,"raw.ne",1018
"159","G_11",0.548182087348498,"G_1","E_1",-0.157781871053177,"mean.ne",1018
"160","G_21",-0.548182087348498,"G_2","E_2",0.157781871053176,"mean.ne",1018
"161","1",0.504339108496643,"G_1","E_1",-0.540593061450655,"raw",1019
"162","2",0.006119176133763,"G_2","E_2",1.05105134608106,"raw",1019
"163","G_1",0.504339108496643,"G_1","E_1",-0.540593061450655,"means",1019
"164","G_2",0.00611917613376312,"G_2","E_2",1.05105134608106,"means",1019
"165","11",0.107997713860344,"G_1","E_1",-0.843752997797142,"raw.ne",1019
"166","21",-0.107997713860344,"G_2","E_2",0.843752997797143,"raw.ne",1019
"167","G_11",0.107997713860344,"G_1","E_1",-0.843752997797142,"mean.ne",1019
"168","G_21",-0.107997713860344,"G_2","E_2",0.843752997797142,"mean.ne",1019
"169","1",0.0864340863333262,"G_1","E_1",-1.56954911334923,"raw",101
"170","2",-0.224829476364535,"G_2","E_2",-1.27073041801397,"raw",101
"171","3",0.133061990941977,"G_3","E_3",-0.614767556056447,"raw",101
"172","4",-0.204876518065049,"G_4","E_4",-0.246506716518764,"raw",101
"173","5",-0.457667777287821,"G_5","E_5",0.116366417237123,"raw",101
"174","6",0.157821380063887,"G_6","E_6",0.626015499037351,"raw",101
"175","7",0.0887938120325591,"G_7","E_7",1.35342080327921,"raw",101
"176","8",0.199949951494752,"G_8","E_8",1.38443853353382,"raw",101
"177","G_1",0.0864340863333256,"G_1","E_1",-1.56954911334923,"means",101
"178","G_2",-0.224829476364534,"G_2","E_2",-1.27073041801397,"means",101
"179","G_3",0.133061990941977,"G_3","E_3",-0.614767556056447,"means",101
"180","G_4",-0.204876518065049,"G_4","E_4",-0.246506716518767,"means",101
"181","G_5",-0.457667777287821,"G_5","E_5",0.116366417237125,"means",101
"182","G_6",0.157821380063887,"G_6","E_6",0.626015499037348,"means",101
"183","G_7",0.088793812032559,"G_7","E_7",1.35342080327921,"means",101
"184","G_8",0.199949951494752,"G_8","E_8",1.38443853353382,"means",101
"185","11",-0.0763618053264733,"G_1","E_1",-1.48590346927228,"raw.ne",101
"186","21",-0.138283245182237,"G_2","E_2",-1.10666201761891,"raw.ne",101
"187","31",-0.0501669686881421,"G_3","E_3",-0.540621948991862,"raw.ne",101
"188","41",-0.135237590357808,"G_4","E_4",-0.21074022042724,"raw.ne",101
"189","51",-0.144241738361757,"G_5","E_5",0.172184755177225,"raw.ne",101
"190","61",0.17829026976863,"G_6","E_6",0.612352884058056,"raw.ne",101
"191","71",0.255948832229742,"G_7","E_7",1.10466586567213,"raw.ne",101
"192","81",0.110052245918045,"G_8","E_8",1.45472415140289,"raw.ne",101
"193","G_11",-0.0763618053264742,"G_1","E_1",-1.48590346927228,"mean.ne",101
"194","G_21",-0.138283245182237,"G_2","E_2",-1.10666201761891,"mean.ne",101
"195","G_31",-0.0501669686881416,"G_3","E_3",-0.540621948991861,"mean.ne",101
"196","G_41",-0.135237590357809,"G_4","E_4",-0.210740220427242,"mean.ne",101
"197","G_51",-0.144241738361757,"G_5","E_5",0.172184755177225,"mean.ne",101
"198","G_61",0.17829026976863,"G_6","E_6",0.612352884058053,"mean.ne",101
"199","G_71",0.255948832229742,"G_7","E_7",1.10466586567212,"mean.ne",101
"200","G_81",0.110052245918045,"G_8","E_8",1.45472415140289,"mean.ne",101
"201","1",-0.177541388431211,"G_1","E_1",-0.896248285162941,"raw",1020
"202","2",0.0254066653950981,"G_2","E_2",0.744113562126828,"raw",1020
"203","G_1",-0.177541388431211,"G_1","E_1",-0.896248285162941,"means",1020
"204","G_2",0.0254066653950978,"G_2","E_2",0.744113562126828,"means",1020
"205","11",0.517471765115523,"G_1","E_1",-0.643787893067336,"raw.ne",1020
"206","21",-0.517471765115523,"G_2","E_2",0.643787893067336,"raw.ne",1020
"207","G_11",0.517471765115523,"G_1","E_1",-0.643787893067336,"mean.ne",1020
"208","G_21",-0.517471765115523,"G_2","E_2",0.643787893067336,"mean.ne",1020
"209","1",-1.13975753713166,"G_1","E_1",0.0413761748767217,"raw",1021
"210","2",1.00706787771009,"G_2","E_2",-0.174065834298296,"raw",1021
"211","G_1",-1.13975753713166,"G_1","E_1",0.0413761748767217,"means",1021
"212","G_2",1.00706787771009,"G_2","E_2",-0.174065834298296,"means",1021
