"","X1","row","Variance_Component","SS","abs.SS.","omega2","Pvalue"
"137",2,1026,"V_e",2.4833,2.4833,0.1307,0.007
"138",3,1026,"V_gxe",0.2476,0.2476,0.013,0.01
"139",4,1026,"V_cov",2.5686,2.5686,0.1352,0.006
"140",5,1026,"V_error",11.0417,11.0417,0.5812,NA
"141",1,1027,"V_g",3.439,3.439,0.1236,0.009
"142",2,1027,"V_e",5.5784,5.5784,0.2005,0.009
"143",3,1027,"V_gxe",0.0059,0.0059,2e-04,0.192
"144",4,1027,"V_cov",4.38,4.38,0.1574,0.009
"145",5,1027,"V_error",14.4211,14.4211,0.5183,NA
"146",1,1028,"V_g",6.3456,6.3456,0.2015,0
"147",2,1028,"V_e",9.7768,9.7768,0.3105,0
"148",3,1028,"V_gxe",0.4125,0.4125,0.0131,0
"149",4,1028,"V_cov",7.8765,7.8765,0.2501,0
"150",5,1028,"V_error",7.0788,7.0788,0.2248,NA
"151",1,1029,"V_g",11.2041,11.2041,0.3465,0.001
"152",2,1029,"V_e",4.4596,4.4596,0.1379,0.001
"153",3,1029,"V_gxe",0.0446,0.0446,0.0014,0.001
"154",4,1029,"V_cov",7.0687,7.0687,0.2186,0.001
"155",5,1029,"V_error",9.5569,9.5569,0.2956,NA
"156",1,102,"V_g",125.3225,125.3225,0.7557,0
"157",2,102,"V_e",1.4674,1.4674,0.0088,0
"158",3,102,"V_gxe",11.9323,11.9323,0.072,0
"159",4,102,"V_cov",-11.9986,11.9986,0.0724,0
"160",5,102,"V_error",15.112,15.112,0.0911,NA
"161",1,1030,"V_g",2.3764,2.3764,0.0554,0
"162",2,1030,"V_e",22.85,22.85,0.5326,0
"163",3,1030,"V_gxe",4.2191,4.2191,0.0983,0
"164",4,1030,"V_cov",7.369,7.369,0.1718,0
"165",5,1030,"V_error",6.0847,6.0847,0.1418,NA
"166",1,1031,"V_g",3.7489,3.7489,0.1479,0.006
"167",2,1031,"V_e",2.7156,2.7156,0.1071,0.007
"168",3,1031,"V_gxe",1.6347,1.6347,0.0645,0.007
"169",4,1031,"V_cov",-3.1907,3.1907,0.1259,0.006
"170",5,1031,"V_error",14.0553,14.0553,0.5546,NA
"171",1,1032,"V_g",0.4403,0.4403,0.0132,0.002
"172",2,1032,"V_e",17.2344,17.2344,0.5176,0.002
"173",3,1032,"V_gxe",0.4488,0.4488,0.0135,0.002
"174",4,1032,"V_cov",-2.7547,2.7547,0.0827,0.002
"175",5,1032,"V_error",12.4165,12.4165,0.3729,NA
"176",1,1033,"V_g",2.5025,2.5025,0.0774,0
"177",2,1033,"V_e",13.4665,13.4665,0.4163,0
"178",3,1033,"V_gxe",3.0528,3.0528,0.0944,0
"179",4,1033,"V_cov",-5.8052,5.8052,0.1795,0
"180",5,1033,"V_error",7.5175,7.5175,0.2324,NA
"181",1,1034,"V_g",0.563,0.563,0.0184,0
"182",2,1034,"V_e",15.145,15.145,0.4942,0
"183",3,1034,"V_gxe",5.1957,5.1957,0.1695,0
"184",4,1034,"V_cov",-2.9202,2.9202,0.0953,0
"185",5,1034,"V_error",6.8225,6.8225,0.2226,NA
"186",1,1035,"V_g",4.3573,4.3573,0.1216,0
"187",2,1035,"V_e",15.4402,15.4402,0.4308,0
"188",3,1035,"V_gxe",0.6055,0.6055,0.0169,0
"189",4,1035,"V_cov",-8.2023,8.2023,0.2288,0
"190",5,1035,"V_error",7.2384,7.2384,0.2019,NA
"191",1,1036,"V_g",9.9484,9.9484,0.2455,0.001
"192",2,1036,"V_e",3.6801,3.6801,0.0908,0.001
"193",3,1036,"V_gxe",3.2613,3.2613,0.0805,0.001
"194",4,1036,"V_cov",6.0507,6.0507,0.1493,0.001
"195",5,1036,"V_error",17.5763,17.5763,0.4338,NA
"196",1,1037,"V_g",0.3693,0.3693,0.0163,0
"197",2,1037,"V_e",4.3224,4.3224,0.1906,0
"198",3,1037,"V_gxe",8.9261,8.9261,0.3936,0
"199",4,1037,"V_cov",1.2634,1.2634,0.0557,0
"200",5,1037,"V_error",7.799,7.799,0.3439,NA
"201",1,1038,"V_g",9.8182,9.8182,0.2816,0.001
"202",2,1038,"V_e",0.9869,0.9869,0.0283,0.001
"203",3,1038,"V_gxe",6.5224,6.5224,0.1871,0.001
"204",4,1038,"V_cov",-3.1128,3.1128,0.0893,0.001
"205",5,1038,"V_error",14.4282,14.4282,0.4138,NA
"206",1,1039,"V_g",2.3104,2.3104,0.0817,0.001
"207",2,1039,"V_e",0.9579,0.9579,0.0339,0.001
"208",3,1039,"V_gxe",9.9452,9.9452,0.3518,0
"209",4,1039,"V_cov",-1.4877,1.4877,0.0526,0.001
"210",5,1039,"V_error",13.5687,13.5687,0.48,NA
"211",1,103,"V_g",25.995,25.995,0.1513,0
"212",2,103,"V_e",24.1639,24.1639,0.1406,0
"213",3,103,"V_gxe",95.6625,95.6625,0.5566,0
"214",4,103,"V_cov",-9.8311,9.8311,0.0572,0
"215",5,103,"V_error",16.2142,16.2142,0.0943,NA
"216",1,1040,"V_g",9.3705,9.3705,0.3918,0.004
"217",2,1040,"V_e",0.7509,0.7509,0.0314,0.004
"218",3,1040,"V_gxe",0.1695,0.1695,0.0071,0.004
"219",4,1040,"V_cov",2.6527,2.6527,0.1109,0.004
"220",5,1040,"V_error",10.9737,10.9737,0.4588,NA
"221",1,1041,"V_g",8.6113,8.6113,0.2241,0
"222",2,1041,"V_e",7.1293,7.1293,0.1855,0
"223",3,1041,"V_gxe",7.7269,7.7269,0.2011,0
"224",4,1041,"V_cov",-7.8354,7.8354,0.2039,0
"225",5,1041,"V_error",7.1297,7.1297,0.1855,NA
"226",1,1042,"V_g",1.9959,1.9959,0.1606,0
"227",2,1042,"V_e",0.5257,0.5257,0.0423,0
"228",3,1042,"V_gxe",4.5015,4.5015,0.3622,0
"229",4,1042,"V_cov",-1.0243,1.0243,0.0824,0
"230",5,1042,"V_error",4.3816,4.3816,0.3525,NA
"231",1,1043,"V_g",2.8304,2.8304,0.0904,0
"232",2,1043,"V_e",11.0063,11.0063,0.3515,0
"233",3,1043,"V_gxe",0.0805,0.0805,0.0026,0
"234",4,1043,"V_cov",-5.5814,5.5814,0.1782,0
"235",5,1043,"V_error",11.8149,11.8149,0.3773,NA
"236",1,1044,"V_g",1.3827,1.3827,0.0619,0.001
"237",2,1044,"V_e",7.0281,7.0281,0.3147,0.001
"238",3,1044,"V_gxe",0.226,0.226,0.0101,0.001
"239",4,1044,"V_cov",-3.1173,3.1173,0.1396,0.001
"240",5,1044,"V_error",10.5775,10.5775,0.4737,NA
"241",1,1045,"V_g",0.2589,0.2589,0.0086,0
"242",2,1045,"V_e",0.5602,0.5602,0.0185,0
"243",3,1045,"V_gxe",16.7336,16.7336,0.5533,0
"244",4,1045,"V_cov",-0.3808,0.3808,0.0126,0
"245",5,1045,"V_error",12.3077,12.3077,0.407,NA
"246",1,1046,"V_g",6.3307,6.3307,0.3452,0
"247",2,1046,"V_e",2.0295,2.0295,0.1107,0
"248",3,1046,"V_gxe",0.9751,0.9751,0.0532,0
"249",4,1046,"V_cov",-3.5844,3.5844,0.1954,0
"250",5,1046,"V_error",5.4216,5.4216,0.2956,NA
"251",1,1047,"V_g",12.948,12.948,0.5182,0.002
"252",2,1047,"V_e",0.13,0.13,0.0052,0.002
"253",3,1047,"V_gxe",1.4008,1.4008,0.0561,0.002
"254",4,1047,"V_cov",-1.2974,1.2974,0.0519,0.002
"255",5,1047,"V_error",9.21,9.21,0.3686,NA
"256",1,1048,"V_g",7.4724,7.4724,0.2977,0.002
"257",2,1048,"V_e",0.9916,0.9916,0.0395,0.002
"258",3,1048,"V_gxe",4.0528,4.0528,0.1615,0.002
"259",4,1048,"V_cov",2.7221,2.7221,0.1084,0.002
