"","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","true_cov","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_eta","GxE_eta","GxE_eta_lwrCI","GxE_eta_uprCI","GxE_eta_pvalue","true_GxE_SSq","GxE_SSq","GxE_SSq_lwrCI","GxE_SSq_uprCI","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue"
"1172",1,17114,1,2,0.0820333363953978,-0.957473848480731,4,256,8,8,1,4.61584262968972,20.7051787694295,0,-0.01,-0.19,0.17,0.987,0,-0.01,-0.19,0.16,0.981,8.29064323211725e-15,0.64,0.73,0.7,0.87,0,0.58,0.31,0.32,0.46,0,0.58,0.39,0.4,0.52,0,0.58,0.59,0.54,0.68,0.64,0.73,0.59,0.69,0
"1173",1,17115,1,2,0.160720072686672,-0.687646098434925,4,256,8,8,1,1.0125836951239,20.4894145210584,-0.21,-0.11,-0.26,0.02,0.729,-0.21,-0.11,-0.26,0.03,0.736,8.10870432812078e-06,0.44,0.6,0.6,0.77,0.07,0.28,0.15,0.18,0.33,0,0.28,0.25,0.26,0.4,0.07,0.28,0.41,0.38,0.55,0.44,0.6,0.48,0.59,0
"1174",1,17116,1,2,0.22230142285116,-0.0867386623285711,4,256,8,8,1,1.6943797152047,17.2065204143524,0.03,0.02,-0.3,0.33,0.965,0.03,0.02,-0.3,0.33,0.962,9.28409066515956e-11,0.71,0.73,0.72,0.89,0,0.72,0.29,0.32,0.49,0,0.72,0.4,0.42,0.56,0,0.72,0.72,0.64,0.81,0.71,0.73,0.64,0.74,0
"1175",1,17117,1,2,0.00251552322879434,0.69449315732345,4,256,8,8,1,1.01542784424033,22.489188794295,0.01,-0.03,-0.12,0.07,0.929,0.01,-0.03,-0.12,0.07,0.942,3.91088254620117e-08,0.36,0.54,0.54,0.69,0.23,0.22,0.15,0.17,0.29,0,0.22,0.23,0.23,0.34,0.14,0.22,0.33,0.31,0.44,0.36,0.54,0.42,0.53,0
"1176",1,17118,1,2,0.715502843027934,-0.846543397288769,4,256,8,8,1,5.24672477599233,21.873537170887,-0.3,-0.29,-0.5,0.06,0.329,-0.3,-0.29,-0.52,0.05,0.347,3.97683674623765e-12,0.67,0.7,0.68,0.85,0,0.75,0.31,0.34,0.5,0,0.75,0.42,0.43,0.57,0,0.75,0.71,0.64,0.79,0.67,0.7,0.62,0.72,0
"1177",1,17119,1,2,0.358089557848871,0.316043060738593,4,256,8,8,1,1.92485628268216,22.1261699477832,0.7,0.69,0.37,0.79,0.015,0.7,0.69,0.38,0.78,0.011,2.1618494583673e-15,0.67,0.77,0.74,0.93,0,0.66,0.34,0.36,0.51,0,0.66,0.43,0.44,0.57,0,0.66,0.66,0.61,0.74,0.67,0.77,0.62,0.71,0
"1178",1,17120,1,2,0.502352044451982,0.186780204530805,4,256,8,8,1,1.33356874271063,22.4913580099742,0.86,0.72,0.44,0.82,0.009,0.86,0.72,0.45,0.82,0.01,1.69030904924524e-06,0.46,0.57,0.56,0.73,0.02,0.33,0.16,0.19,0.34,0,0.33,0.26,0.28,0.4,0.02,0.33,0.44,0.41,0.56,0.46,0.57,0.5,0.61,0
"1179",1,17121,1,2,2.54993792623281e-05,0.00288465106859803,4,256,8,8,1,0.22218042504508,12.4527493158976,0.36,0.32,0.05,0.56,0.277,0.36,0.32,0.06,0.53,0.302,2.38147206514414e-13,0.66,0.73,0.71,0.88,0,0.67,0.31,0.33,0.49,0,0.67,0.41,0.41,0.55,0,0.67,0.65,0.59,0.74,0.66,0.73,0.6,0.7,0
"1180",1,17122,1,2,0.977616931078956,-0.0353693496435881,4,256,8,8,1,0.474761501210742,24.1666679223379,-0.04,-0.04,-0.15,0.07,0.9,-0.04,-0.04,-0.14,0.06,0.901,0.823472324273634,0.12,0.34,0.37,0.53,1,0.03,-0.02,0.02,0.15,0.67,0.03,0.08,0.11,0.22,1,0.03,0.14,0.16,0.31,0.12,0.34,0.31,0.44,0.22
"1181",1,17123,1,2,0.0878856326453388,-0.257214118726552,4,256,8,8,1,0.689649391323328,22.2370738307635,-0.1,-0.14,-0.28,0.02,0.663,-0.1,-0.14,-0.3,0,0.632,0.000247090171580312,0.39,0.52,0.52,0.7,0.3,0.24,0.11,0.15,0.29,0,0.24,0.21,0.23,0.36,0.24,0.24,0.36,0.34,0.52,0.39,0.52,0.45,0.57,0
"1182",1,17124,1,2,0.187341623706743,-0.594848060049117,4,256,8,8,1,0.795976643199101,25.1442921280861,-0.15,-0.28,-0.38,-0.16,0.362,-0.15,-0.28,-0.39,-0.17,0.335,0.311471396955337,0.23,0.38,0.41,0.58,1,0.09,0.01,0.05,0.17,0.37,0.09,0.1,0.13,0.24,1,0.09,0.17,0.18,0.32,0.23,0.38,0.32,0.43,0.09
"1183",1,17125,1,2,0.510396103840321,-0.176343760453165,4,256,8,8,1,0.66810451381607,23.0675466497739,-0.47,-0.44,-0.62,-0.27,0.138,-0.47,-0.44,-0.6,-0.25,0.122,0.0313875722773824,0.3,0.48,0.49,0.68,0.71,0.16,0.05,0.1,0.24,0.12,0.16,0.17,0.19,0.32,0.77,0.16,0.29,0.28,0.47,0.3,0.48,0.42,0.55,0
"1184",1,17126,1,2,0.798208611551672,0.0482122390531003,4,256,8,8,1,0.958163790458348,22.4234787583351,0.08,-0.04,-0.16,0.07,0.901,0.08,-0.04,-0.15,0.08,0.889,0.00140929391440177,0.33,0.45,0.47,0.63,0.89,0.16,0.08,0.11,0.23,0.04,0.16,0.17,0.19,0.29,0.76,0.16,0.26,0.26,0.39,0.33,0.45,0.38,0.5,0
"1185",1,17127,1,2,0.0756021065171808,0.502019578590989,4,256,8,8,1,1.36360196104739,18.7411338766416,0.28,0.39,0.22,0.54,0.181,0.28,0.39,0.21,0.56,0.193,1.49475879611151e-10,0.53,0.67,0.62,0.81,0,0.43,0.23,0.25,0.4,0,0.43,0.32,0.32,0.46,0,0.43,0.5,0.45,0.62,0.53,0.67,0.54,0.65,0
"1186",1,17128,1,2,0.386055323295295,0.00832963874563575,4,256,8,8,1,0.26407060448546,24.1509974837303,-0.02,-0.07,-0.16,0.03,0.841,-0.02,-0.07,-0.17,0.03,0.834,0.00179384826972762,0.23,0.46,0.45,0.61,0.82,0.08,0.07,0.09,0.22,0.06,0.08,0.15,0.16,0.27,0.87,0.08,0.22,0.21,0.35,0.23,0.46,0.36,0.48,0
"1187",1,17129,1,2,0.0683946046046913,0.790651774499565,4,256,8,8,1,4.9754830240272,21.1412908315659,0.05,-0.25,-0.49,0.02,0.426,0.05,-0.25,-0.47,0,0.409,6.96071505118046e-18,0.72,0.81,0.78,0.95,0,0.8,0.41,0.44,0.57,0,0.8,0.51,0.52,0.63,0,0.8,0.79,0.73,0.85,0.72,0.81,0.67,0.75,0
"1188",1,17130,1,2,0.907027647132054,0.508962228428572,4,256,8,8,1,3.30369976721704,18.9992074092229,0.67,0.57,0.33,0.71,0.061,0.67,0.57,0.35,0.72,0.043,2.93302757389705e-10,0.57,0.66,0.64,0.81,0,0.49,0.22,0.24,0.39,0,0.49,0.31,0.32,0.45,0,0.49,0.48,0.44,0.59,0.57,0.66,0.53,0.63,0
"1189",1,17131,1,2,0.132480142405257,0.510344482026994,4,256,8,8,1,1.18508147553308,19.0347526391347,0.31,0.36,0.17,0.56,0.246,0.31,0.36,0.18,0.54,0.203,1.70389854278018e-11,0.5,0.67,0.65,0.83,0,0.4,0.24,0.25,0.4,0,0.4,0.33,0.32,0.46,0,0.4,0.49,0.44,0.6,0.5,0.67,0.5,0.62,0
"1190",1,17132,1,2,0.505078922491521,-0.24319824250415,4,256,8,8,1,1.47096456938889,25.8668455243111,-0.53,-0.74,-0.87,-0.51,0.006,-0.53,-0.74,-0.88,-0.52,0.007,0.000123477283451922,0.45,0.49,0.5,0.67,0.25,0.34,0.13,0.17,0.32,0,0.34,0.24,0.25,0.39,0.13,0.34,0.41,0.38,0.56,0.45,0.49,0.48,0.6,0
"1191",1,17133,1,2,0.280655620619655,0.28129210555926,4,256,8,8,1,1.20560868848115,23.0930631359418,0.67,0.82,0.51,0.89,0.001,0.67,0.82,0.54,0.9,0.004,0.000144622674431586,0.5,0.53,0.53,0.72,0.11,0.41,0.14,0.17,0.36,0,0.41,0.26,0.28,0.44,0.03,0.41,0.5,0.45,0.66,0.5,0.53,0.51,0.62,0
"1192",1,17134,1,2,0.248117768205702,0.0220009195618331,4,256,8,8,1,0.717327845348045,17.9162975788116,0.03,0.07,-0.1,0.22,0.819,0.03,0.07,-0.07,0.22,0.822,0.000367818025451262,0.46,0.54,0.53,0.72,0.05,0.32,0.13,0.16,0.35,0,0.32,0.25,0.27,0.43,0.06,0.32,0.48,0.42,0.64,0.46,0.54,0.51,0.64,0
"1193",1,17135,1,2,0.773617455037311,-0.317072452511638,4,256,8,8,1,2.23881646711379,21.1452037533124,-0.15,-0.12,-0.31,0.08,0.687,-0.15,-0.12,-0.31,0.08,0.698,1.27815496277496e-11,0.54,0.64,0.64,0.81,0.01,0.57,0.29,0.3,0.46,0,0.57,0.39,0.39,0.53,0,0.57,0.64,0.56,0.74,0.54,0.64,0.54,0.65,0
"1194",1,17136,1,2,0.246040500234812,0.410857189446688,4,256,8,8,1,0.465520234557334,21.2518692890803,0.63,0.62,0.47,0.75,0.027,0.63,0.62,0.47,0.77,0.037,0.00136425650069566,0.31,0.47,0.48,0.65,0.77,0.15,0.08,0.1,0.23,0.04,0.15,0.17,0.18,0.29,0.75,0.15,0.25,0.24,0.38,0.31,0.47,0.39,0.49,0
"1195",1,17137,1,2,0.45038300123997,-0.412688318174332,4,256,8,8,1,0.323614058226813,25.7015888929367,-0.85,-0.89,-0.92,-0.62,0,-0.85,-0.89,-0.93,-0.62,0,0.330642371676345,0.14,0.38,0.43,0.6,0.98,0.03,0.01,0.06,0.2,0.39,0.03,0.13,0.15,0.28,0.97,0.03,0.23,0.24,0.42,0.14,0.38,0.37,0.51,0.2
