"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
2,3.5,6.125,10.8957926695132,1.6903507786191,25.1092043799084
2,3.75,7.03125,10.6521424452169,1.26366101104264,24.0448812755286
2,4,8,5.98698939866256,0.547190322213136,14.0088365302809
2,4.25,9.03125,5.08176950843321,0.462472866261545,11.3259362076795
2,4.5,10.125,9.47855187611582,-0.000659748522251586,23.1777762086908
2,4.75,11.28125,15.5725537521227,-0.127190097866228,38.2126075452676
2,5,12.5,14.0822138301943,1.72153515061097,33.7123075840345
2,5.25,13.78125,17.7651336657933,2.97283959100029,38.7234023177054
2,5.5,15.125,18.7299481959113,2.61809504727774,41.3658847050913
2,5.75,16.53125,16.8867949024624,3.11644130031469,36.7351038833576
2,6,18,16.662086395303,3.05430090024049,34.277197993722
2,6.25,19.53125,15.7096690653802,2.49162895762015,34.4530209864295
2,6.5,21.125,18.212854743208,3.88788445152512,39.7145647267758
2,6.75,22.78125,21.7030256304088,3.31905627010092,47.0294917573733
2,7,24.5,18.8832447962603,2.75555426310161,42.8249936798942
2,7.25,26.28125,22.1984172303095,3.47782832405179,49.08848405461
2,7.5,28.125,22.4924050782227,4.19848398894825,49.2626099112734
2,7.75,30.03125,30.7499323017159,4.33234985308532,68.341648061309
2,8,32,38.4109308944235,5.58035364709599,80.6392490959467
2,8.25,34.03125,32.554880776071,5.69014165236724,71.7798061844601
2,8.5,36.125,35.8561669953577,5.69692399390078,80.3521576428542
2,8.75,38.28125,46.9794221142083,7.53010449287673,103.505352403588
2,9,40.5,43.5209149903295,5.53445414391302,101.05458063963
2,9.25,42.78125,46.8041556697256,7.09941603936191,99.6678065049238
2,9.5,45.125,47.4111245481439,7.98777769084971,99.8834649359217
2,9.75,47.53125,55.7693603802004,10.7236616227266,123.029227532783
2,10,50,47.4860240513699,9.07869812528263,108.511674705334
3,1,0.5,0.615770669950933,-0.0932482950164104,1.68556108015486
3,1.25,0.78125,2.15472597308422,-0.0940046921702261,5.84194967200058
3,1.5,1.125,2.38862034184607,0.755705876463052,4.65989083232057
3,1.75,1.53125,2.09891355661091,-0.0858274308833144,4.95083023843055
3,2,2,1.34310219685989,-0.0680017907719279,3.46917573098201
3,2.25,2.53125,3.30450907536575,0.741371851606308,6.95913420808549
3,2.5,3.125,3.21127819353388,0.00179726966201921,7.09196672574851
3,2.75,3.78125,2.60175353205805,0.530702396090407,5.67662210220985
3,3,4.5,3.76917427149875,0.756732555030414,8.03152379586736
3,3.25,5.28125,3.96583252003695,0.86398156934554,8.72236775839496
3,3.5,6.125,6.4316524292986,1.50581145976997,13.1365119833741
3,3.75,7.03125,9.56422727923047,1.38887574896873,20.1379392312659
3,4,8,7.10544566047951,1.80667539450347,14.5460974455165
3,4.25,9.03125,8.90553524094094,2.17904724275066,18.5225090666361
3,4.5,10.125,7.25854900924303,0.42974844777034,15.6567153922584
3,4.75,11.28125,10.476180010162,2.02078111683217,21.2631354818488
3,5,12.5,16.9982954184458,4.74765638596469,32.8432734826561
3,5.25,13.78125,12.3294219592514,3.46980701842434,24.1479540923328
3,5.5,15.125,12.3684684814653,2.99221206928198,24.1804984495568
3,5.75,16.53125,13.4344566188417,3.43966854122691,25.7234238690523
3,6,18,18.1641991020454,5.11648996621959,35.7780595911809
3,6.25,19.53125,16.2335117755208,4.53266618198169,31.90338311345
