"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"1504",32788,32805,1,8044,5,1,0.950642982497811,-0.610769310034811,2,8,2,2,1,0.742579658981413,2.61314421097438,0.344,0.689,-0.163,-0.163,-2.329,2.117,0.94,0.689,-0.163,-0.163,-0.956683333333333,0.882833333333333,0.999,1,-1,-1,1,0.799,0.623,0.195,0.239,0.046,0.913,0.999,0.05,-0.088,-0.13,0.409,0.647,0.195,0.239,0.014,1.148,0.993,FALSE,1.83951666666667,4.446,1.134,0.867
"1505",32789,32806,1,8045,5,1,0.0504494037013501,-0.0741459471173584,2,8,2,2,1,0.425183534622192,2.70242605606715,0.217,0.433,-0.172,-0.172,-3.40456666666667,0.437,0.835,0.433,-0.172,-0.172,-0.934,0.512683333333333,0.659,1,-1,-1,1,0.847,0.818,0.164,0.113,0,0.722,0.984,0.036,-0.117,-0.141,0.672,0.712,0.164,0.113,0.013,0.787,0.992,FALSE,1.44668333333333,3.84156666666667,0.774,0.722
"1506",32790,32807,1,8046,5,1,0.655132642947137,0.933123129885644,2,8,2,2,1,1.90932443598285,2.66217079957326,0.027,0.055,-0.903,-0.903,-2.863,0.531,0.07,0.055,-0.903,-0.903,-0.979683333333333,0.413683333333333,0.323,1,-1,-1,1,0.999,0.531,0.357,0.301,0.014,0.828,0.908,0.17,-0.061,-0.138,0.439,0.582,0.357,0.301,0.008,1.016,0.855,FALSE,1.39336666666667,3.394,1.008,0.814
"1507",32793,32810,1,8049,5,1,0.239964231383055,-0.462985394056886,2,8,2,2,1,1.08891307143494,2.63769306341807,-0.17,-0.34,0.603,0.603,-0.303,5.044,0.237,-0.34,0.603,0.603,-0.553,0.963366666666667,0.347,-1,1,-1,1,0.824,0.814,0.496,0.068,0.01,0.431,0.999,0.328,-0.107,-0.131,0.318,0.681,0.496,0.068,0.01,0.776,0.999,FALSE,1.51636666666667,5.347,0.766,0.421
"1508",32794,32811,1,804,1,1,0.101571430684999,-0.364042776636779,2,8,2,2,1,0.83323989668861,2.5682813723882,-0.236,-0.472,-0.579,-0.579,-11.601,2.296,0.356,-0.472,-0.579,-0.579,-0.948366666666667,0.777599999999998,0.675,-1,-1,-1,1,0.831,0.086,0.248,0.483,0.198,0.769,0.343,0.082,0.283,0.099,0.692,0.043,0.248,0.483,0.07,0.994,0.191,FALSE,1.72596666666667,13.897,0.924,0.571
"1509",32795,32812,1,8050,5,1,0.0702678938396275,-0.536912894807756,2,8,2,2,1,0.178415516391397,2.47410384813944,-0.417,-0.834,-0.709,-0.709,-6.718,1.229,0.245,-0.834,-0.709,-0.709,-0.963683333333333,0.769366666666667,0.999,-1,-1,-1,1,0.937,0.474,0.08,0.421,0.004,1.145,0.979,0.008,-0.052,-0.171,0.551,0.456,0.08,0.421,0.017,1.269,0.962,FALSE,1.73305,7.947,1.252,1.141
"1510",32796,32813,1,8051,5,1,0.465092526515946,0.717127787414938,2,32,4,4,1,1.11288971112343,4.68324757019679,-0.466,-0.621,-0.641,-0.641,-6.48661666666667,-0.493750000000001,0.115,-0.621,-0.641,-0.641,-0.922,0.0516833333333333,0.109,-0.622,-0.925,-0.996,-0.193,0.092,0.001,0.683,0.681,0.581,0.857,0.005,0.697,0.491,0.441,0.779,0.001,0.683,0.681,0.566,0.914,0.002,TRUE,0.973683333333333,5.99286666666667,0.348,0.276
"1511",32805,32822,1,805,1,1,0.784954468254,0.24969292525202,2,8,2,2,1,1.71637361776084,2.5638023853302,0.296,0.593,0.91,0.91,-1.84,20.123,0.056,0.593,0.91,0.91,-0.846466666666667,0.973366666666667,0.331,1,1,-1,1,0.824,0.504,0.846,0.269,0.006,0.8,0.884,0.955,-0.06,-0.184,0.472,0.527,0.846,0.269,0.018,1.043,0.927,FALSE,1.81983333333333,21.963,1.025,0.794
"1512",32806,32823,1,8060,5,1,0.106480696937069,0.545294848270714,2,32,4,4,1,2.72868191823363,8.28416340748469,0.086,0.114,-0.32,-0.32,-2.65146666666667,1.27141666666667,0.414,0.114,-0.32,-0.32,-0.688466666666667,0.383516666666666,0.458,0.218,-0.333,-0.835,0.47,0.654,0.147,0.611,0.605,0.475,0.856,0.096,0.564,0.164,0.152,0.622,0.144,0.611,0.605,0.463,0.902,0.036,FALSE,1.07198333333333,3.92288333333334,0.439,0.381
"1513",32808,32825,1,8062,5,1,0.906202133512124,-0.0527955465950072,2,32,4,4,1,1.62888565143337,8.24589124123255,-0.249,-0.332,-0.733,-0.733,-5.68646666666667,-0.521316666666667,0.049,-0.332,-0.733,-0.733,-0.88505,-0.0194833333333339,0.054,-0.573,-0.836,-0.987,-0.299,0.169,0.052,0.618,0.627,0.541,0.856,0.019,0.612,0.251,0.245,0.723,0.07,0.618,0.627,0.437,0.986,0.031,TRUE,0.865566666666666,5.16515,0.549,0.315
"1514",32814,32831,1,8068,5,1,0.915124953025952,0.166911656968296,2,32,4,4,1,2.51379702193663,8.14520047505697,0.414,0.552,0.545,0.545,-2.08658333333333,5.49165,0.175,0.552,0.545,0.545,-0.4231,0.834366666666666,0.194,0.875,0.796,-0.666,0.983,0.213,0.218,0.656,0.655,0.549,1.011,0.035,0.708,0.138,0.156,0.728,0.196,0.656,0.655,0.553,1.108,0.141,TRUE,1.25746666666667,7.57823333333333,0.555,0.462
"1515",32817,32834,1,8070,5,1,0.911773514002562,0.698685637675226,2,32,4,4,1,1.78901517955121,4.53772948185603,0.709,0.946,0.308,0.308,-0.606516666666667,3.23436666666667,0.442,0.946,0.308,0.308,-0.40905,0.714,0.471,0.946,0.32,-0.212,0.698,0.654,0.08,0.556,0.588,0.464,0.798,0.179,0.431,0.201,0.184,0.615,0.099,0.556,0.588,0.438,0.938,0.111,FALSE,1.12305,3.84088333333334,0.5,0.334
"1516",32821,32838,1,8074,5,1,0.508649570168927,0.0923996432684362,2,32,4,4,1,2.00944293150678,4.48054154713949,0.648,0.864,0.595,0.595,-0.88055,4.08761666666667,0.151,0.864,0.595,0.595,-0.23005,0.884366666666667,0.138,0.913,0.75,-0.229,0.969,0.261,0.01,0.665,0.768,0.644,0.998,0,0.65,0.41,0.416,0.745,0.009,0.665,0.768,0.616,1.053,0.001,TRUE,1.11441666666667,4.96816666666667,0.437,0.354
"1517",32828,32845,1,8080,5,1,0.478367023402825,-0.146300904918462,2,32,4,4,1,3.23143649334088,7.98074874480565,-0.065,-0.087,-0.398,-0.398,-3.9927,0.0614166666666664,0.317,-0.087,-0.398,-0.398,-0.855733333333333,0.0914166666666664,0.321,-0.461,-0.835,-0.989,0.119,0.153,0.299,0.624,0.617,0.486,0.935,0.02,0.603,0.077,0.067,0.653,0.333,0.624,0.617,0.48,0.966,0.17,TRUE,0.947149999999999,4.05411666666667,0.486,0.449
"1518",32830,32847,1,8082,5,1,0.326564990682527,0.962036974728107,2,32,4,4,1,0.876231559345033,8.27921513319015,0.298,0.397,0.642,0.642,0.125266666666667,3.38525,0.114,0.397,0.642,0.642,-0.113616666666667,0.880366666666667,0.11,0.891,0.849,0.11,0.987,0.144,0.3,0.384,0.564,0.436,0.922,0.112,0.206,0.072,0.059,0.563,0.325,0.384,0.564,0.411,0.986,0.237,TRUE,0.993983333333334,3.25998333333333,0.575,0.486
"1519",32832,32849,1,8084,5,1,0.00474904919974506,-0.0730530642904341,2,32,4,4,1,1.49304924464552,8.4192144314448,-0.343,-0.458,-0.544,-0.544,-2.9541,0.0906833333333333,0.177,-0.458,-0.544,-0.544,-0.798,0.21405,0.166,-0.685,-0.805,-0.987,0.291,0.173,0.482,0.496,0.56,0.485,0.964,0.165,0.37,-0.002,0.001,0.672,0.48,0.496,0.56,0.489,1.047,0.416,FALSE,1.01205,3.04478333333333,0.558,0.479
"1520",32839,32856,1,8090,5,1,0.106059523997828,0.399427925236523,2,32,4,4,1,1.53098821401829,4.53301675717036,0.035,0.046,-0.104,-0.104,-7.45381666666667,6.6316,0.803,0.046,-0.104,-0.104,-0.749,0.6841,0.805,0.082,-0.265,-0.877,0.919,0.746,0.003,0.759,0.82,0.694,1.047,0,0.856,0.546,0.546,0.846,0,0.759,0.82,0.68,1.106,0,TRUE,1.4331,14.0854166666667,0.426,0.353
