"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"256",1573,1573,1,12204,7,1,0.622210351750255,-0.286263845860958,16,64,2,2,1,1.83190023200586,2.83927146196365,0.482,0.964,0.411,0.411,-0.172833333333333,4.18146666666666,0.503,0.964,0.411,0.411,0.0146333333333333,0.923,0.683,1,1,-1,1,0.936,0,0.721,0.54,0.292,0.789,0,0.694,0.174,0.058,0.324,0,0.721,0.54,0.33,0.749,0,TRUE,0.908366666666667,4.35429999999999,0.419,0.497
"257",1576,1576,1,12207,7,1,0.722270083148032,-0.158722233958542,16,64,2,2,1,1.44661931879818,2.44588586886724,0.14,0.279,0.004,0.004,-1.67586666666667,5.35103333333333,0.997,0.279,0.004,0.004,-0.425416666666667,0.633833333333333,0.999,1,1,-1,1,0.95,0.001,0.689,0.446,0.198,0.678,0.033,0.634,0.12,0.013,0.292,0.004,0.689,0.446,0.238,0.664,0.001,TRUE,1.05925,7.0269,0.426,0.48
"258",1593,1593,1,12222,7,1,0.420464729424566,0.100320760160685,16,64,2,2,1,0.710355680435896,2.60091278155645,0.123,0.246,0.509,0.509,-0.110983333333333,5.16778333333333,0.41,0.246,0.509,0.509,0.0183833333333333,0.966683333333333,0.999,1,1,-1,1,0.823,0.068,0.367,0.263,0.027,0.517,0.276,0.179,0.031,-0.013,0.144,0.099,0.367,0.263,0.037,0.51,0.186,FALSE,0.9483,5.27876666666666,0.473,0.49
"259",1597,1597,1,12226,7,1,0.457641795044765,-0.882666596211493,16,64,2,2,1,0.641514097340405,2.88903433879217,-0.017,-0.033,-0.011,-0.011,-5.40486666666667,2.43716666666666,0.984,-0.033,-0.011,-0.011,-0.65525,0.4551,0.66,-1,-1,-1,1,0.807,0,0.613,0.579,0.351,0.803,0,0.5,0.22,0.103,0.344,0,0.613,0.579,0.367,0.782,0,TRUE,1.11035,7.84203333333333,0.415,0.452
"260",1600,1600,1,12229,7,1,0.341499606147408,0.396895730402321,16,64,2,2,1,1.05929706478491,2.53379160563151,0.319,0.638,0.392,0.392,-0.103833333333333,4.10408333333333,0.527,0.638,0.392,0.392,-0.0153666666666667,0.867366666666667,0.648,1,1,-1,1,0.808,0,0.521,0.517,0.289,0.751,0,0.362,0.182,0.052,0.372,0.001,0.521,0.517,0.313,0.703,0,TRUE,0.882733333333334,4.20791666666666,0.39,0.462
"261",1610,1610,1,12238,7,1,0.105505084618926,-0.743456067983061,16,64,2,2,1,1.01764576882124,2.74286618630091,0.31,0.619,0.535,0.535,0.0885833333333333,4.50696666666666,0.37,0.619,0.535,0.535,0.14895,0.953733333333333,0.678,1,1,1,1,0.796,0,0.713,0.881,0.636,1.115,0,0.678,0.361,0.22,0.511,0,0.713,0.881,0.693,1.071,0,TRUE,0.804783333333333,4.41838333333333,0.378,0.479
"262",1612,1612,1,1223,1,1,0.687734003644437,-0.501419600564986,8,32,2,2,1,0.664100205991417,3.89157222906748,0.292,0.583,0.576,0.576,-0.221766666666667,8.79419999999999,0.349,0.583,0.576,0.576,-0.0853666666666667,0.973366666666667,0.999,1,1,-1,1,0.834,0.073,0.392,0.263,0.032,0.513,0.789,0.205,0.058,-0.025,0.282,0.096,0.392,0.263,0.028,0.515,0.366,FALSE,1.05873333333333,9.01596666666666,0.487,0.481
"263",1616,1616,1,12243,7,1,0.418579271063209,0.774916453752667,16,64,2,2,1,1.01553951390088,2.6224866271019,0.45,0.9,0.87,0.87,0.4859,3.93838333333333,0.09,0.9,0.87,0.87,0.411,0.986683333333333,0.32,1,1,1,1,0.813,0.103,0.446,0.192,0.016,0.402,0.874,0.265,0.019,-0.011,0.108,0.157,0.446,0.192,0.025,0.405,0.759,TRUE,0.575683333333333,3.45248333333333,0.38,0.386
"264",1618,1618,1,12245,7,1,0.27723412704654,-0.0686742244288325,16,64,2,2,1,1.14005713025108,2.70141374270121,-0.427,-0.854,-0.122,-0.122,-7.29955,1.61376666666666,0.839,-0.854,-0.122,-0.122,-0.8101,0.325366666666667,0.666,-1,-1,-1,1,0.812,0,0.785,0.838,0.624,1.068,0,0.821,0.383,0.252,0.55,0,0.785,0.838,0.637,1.028,0,TRUE,1.13546666666667,8.91331666666666,0.391,0.444
"265",1627,1627,1,12253,7,1,0.621714695589617,0.100706070195884,16,256,4,4,1,2.67605232447386,5.98922981421153,-0.27,-0.36,-0.257,-0.257,-4.5019,0.284283333333331,0.535,-0.36,-0.257,-0.257,-0.569783333333333,0.009,0.522,-0.693,-0.543,-0.942,0.175,0.475,0,0.626,0.635,0.544,0.768,0,0.7,0.306,0.242,0.415,0,0.626,0.635,0.559,0.741,0,TRUE,0.578783333333333,4.78618333333333,0.182,0.224
"266",1635,1635,1,12260,7,1,0.696807353524491,0.727606037631631,16,256,4,4,1,1.40823944281787,4.89116061925888,0.483,0.644,0.707,0.707,1.02948333333333,4.3575,0.069,0.644,0.707,0.707,0.417316666666667,0.891683333333333,0.074,0.743,0.88,0.546,0.986,0.107,0,0.571,0.626,0.532,0.756,0,0.518,0.285,0.227,0.387,0,0.571,0.626,0.544,0.74,0,TRUE,0.474366666666666,3.32801666666667,0.196,0.224
"267",1638,1638,1,12263,7,1,0.334747379412875,-0.481057748664171,16,256,4,4,1,2.30733924917877,4.58805215756098,-0.546,-0.728,-0.685,-0.685,-7.11978333333333,-1.21265,0.076,-0.728,-0.685,-0.685,-0.92605,-0.359633333333333,0.071,-0.742,-0.927,-0.993,-0.593,0.071,0,0.651,0.658,0.562,0.774,0,0.664,0.321,0.264,0.42,0,0.651,0.658,0.575,0.756,0,TRUE,0.566416666666667,5.90713333333333,0.181,0.212
"268",1641,1641,1,12266,7,1,0.600609472952783,-0.066706154961139,16,256,4,4,1,3.20740284584463,4.58130218585332,-0.073,-0.097,-0.402,-0.402,-13.8062166666667,3.6352,0.339,-0.097,-0.402,-0.402,-0.735,0.1601,0.293,-0.11,-0.422,-0.901,0.369,0.592,0,0.755,0.744,0.664,0.866,0,0.89,0.453,0.396,0.547,0,0.755,0.744,0.674,0.841,0,TRUE,0.8951,17.4414166666667,0.167,0.202
"269",1645,1645,1,1226,1,1,0.547608819790184,-0.154206209350377,8,32,2,2,1,1.00302316248417,2.65170461734136,0.192,0.384,0.769,0.769,0.0566333333333333,3.62935,0.184,0.384,0.769,0.769,0.156316666666667,0.981683333333333,0.665,1,1,1,1,0.827,0.006,0.562,0.556,0.224,0.852,0.15,0.421,0.158,0.013,0.406,0.011,0.562,0.556,0.25,0.868,0.077,TRUE,0.825366666666666,3.57271666666667,0.618,0.628
"270",1649,1649,1,12273,7,1,0.066900399280712,-0.251755107194185,16,256,4,4,1,1.3529595189332,4.02777123848597,0.206,0.275,0.245,0.245,-7.37168333333333,13.8867,0.57,0.275,0.245,0.245,-0.297366666666667,0.702683333333333,0.571,0.493,0.457,-0.651,0.957,0.548,0,0.772,0.84,0.738,0.972,0,0.885,0.445,0.387,0.544,0,0.772,0.84,0.754,0.948,0,TRUE,1.00005,21.2583833333333,0.194,0.234
"271",1677,1677,1,12299,7,1,0.390891181770712,0.283625607844442,16,256,4,4,1,1.36081987306708,4.57035686969757,0.198,0.264,0.254,0.254,-0.130683333333333,4.03165,0.548,0.264,0.254,0.254,-0.00236666666666667,0.526416666666666,0.558,0.679,0.501,-0.072,0.892,0.492,0,0.734,0.931,0.835,1.031,0,0.785,0.497,0.442,0.575,0,0.734,0.931,0.85,1.016,0,TRUE,0.528783333333333,4.16233333333333,0.166,0.196
"272",1682,1682,1,1231,1,1,0.640040336875245,-0.298508232925087,8,32,2,2,1,1.14457423239946,2.65253211657206,-0.163,-0.327,-0.218,-0.218,-5.54743333333333,5.47403333333333,0.73,-0.327,-0.218,-0.218,-0.793683333333333,0.592683333333333,0.637,-1,-1,-1,1,0.812,0,0.689,0.876,0.505,1.235,0,0.632,0.347,0.161,0.577,0,0.689,0.876,0.549,1.183,0,TRUE,1.38636666666667,11.0214666666667,0.634,0.73
"273",1686,1686,1,1235,1,1,0.276747761992738,0.766132747288793,8,32,2,2,1,1.64430393557996,2.59219442605972,-0.115,-0.23,-0.951,-0.951,-8.30966666666667,0.123399999999999,0.023,-0.23,-0.951,-0.951,-0.986683333333333,-0.128,0.329,-1,-1,-1,1,0.828,0.004,0.648,0.667,0.304,1.048,0,0.56,0.192,0.019,0.505,0.005,0.648,0.667,0.354,0.976,0.001,TRUE,0.858683333333333,8.43306666666667,0.622,0.744
"274",1689,1689,1,1238,1,1,0.991705338703468,0.147028368432075,8,32,2,2,1,1.95436102990061,2.67497205734253,-0.064,-0.127,-0.218,-0.218,-2.24988333333333,0.758449999999999,0.71,-0.127,-0.218,-0.218,-0.6721,0.192733333333333,0.999,-1,-1,-1,1,0.833,0.002,0.458,0.503,0.221,0.762,0,0.279,0.196,0.032,0.426,0.001,0.458,0.503,0.271,0.731,0,TRUE,0.864833333333333,3.00833333333333,0.46,0.541
"275",1690,1690,1,1239,1,1,0.51000022655353,0.663116687908769,8,32,2,2,1,1.58172691287473,2.57302714983622,0.288,0.576,0.478,0.478,-0.02725,3.25128333333333,0.435,0.576,0.478,0.478,0.0839,0.85315,0.999,1,1,-1,1,0.815,0.009,0.545,0.409,0.129,0.686,0,0.396,0.123,-0.001,0.365,0.027,0.545,0.409,0.183,0.624,0.002,TRUE,0.76925,3.27853333333333,0.441,0.557
"276",1708,1708,1,1241,1,1,0.799789435463026,-0.379429324530065,8,32,2,2,1,0.893347235396504,2.54969810247421,0.257,0.513,0.097,0.097,-29.767,33.3706166666666,0.873,0.513,0.097,0.097,-0.88505,0.923733333333333,0.648,1,1,-1,1,0.945,0,0.814,0.784,0.441,1.11,0,0.883,0.359,0.128,0.666,0,0.814,0.784,0.473,1.115,0,TRUE,1.80878333333333,63.1376166666666,0.642,0.669
"277",1731,1731,1,12454,7,1,0,0.863083685282618,8,32,2,2,1,0,2.63271291255951,0,0,-0.099,-0.099,-2.00788333333333,1.10205,0.87,0,-0.099,-0.099,-0.702416666666667,0.392683333333333,0.999,1,-1,-1,1,0.818,0.308,0,0.163,0.006,0.455,0.793,0,0.002,-0.024,0.168,0.338,0,0.163,0.007,0.443,0.804,FALSE,1.0951,3.10993333333333,0.436,0.449
"278",1748,1748,1,1247,1,1,0.462220037123188,0.281079970765859,8,32,2,2,1,0.438157602678984,2.58079826037089,-0.404,-0.807,-0.282,-0.282,-19.1459,9.92011666666664,0.661,-0.807,-0.282,-0.282,-0.93905,0.695499999999998,0.667,-1,-1,-1,1,0.813,0,0.621,0.859,0.48,1.242,0,0.515,0.324,0.089,0.642,0.001,0.621,0.859,0.501,1.17,0,TRUE,1.63455,29.0660166666666,0.669,0.762
"279",1754,1754,1,1248,1,1,0.428133018314838,-0.406593580730259,8,32,2,2,1,0.338064691983163,2.57302281856537,-0.322,-0.645,-0.462,-0.462,-3.1306,0.144366666666667,0.445,-0.645,-0.462,-0.462,-0.962683333333333,0.156416666666666,0.319,-1,-1,-1,1,0.931,0.528,0.164,0.125,0.006,0.483,0.989,0.036,-0.014,-0.027,0.114,0.437,0.164,0.125,0.007,0.499,0.969,FALSE,1.1191,3.27496666666667,0.492,0.477
"280",1759,1759,1,12494,7,1,0,0.260378240142018,8,32,2,2,1,0,2.60145113070806,0,0,-0.157,-0.157,-2.07971666666667,0.949983333333332,0.814,0,-0.157,-0.157,-0.768733333333333,0.371,0.666,1,-1,-1,1,0.999,0.864,0,0.039,0.006,0.484,0.999,0,-0.025,-0.028,0.105,0.644,0,0.039,0.006,0.407,0.999,FALSE,1.13973333333333,3.0297,0.401,0.478
"281",1760,1760,1,12495,7,1,0,-0.559544515796006,4,16,2,2,1,0,2.70251576900482,0,0,0.069,0.069,-3.29311666666667,3.02274999999999,0.911,0,0.069,0.069,-0.814416666666667,0.867,0.659,-1,1,-1,1,0.805,0.934,0,0.029,0.012,0.662,0.999,0,-0.057,-0.065,0.204,0.724,0,0.029,0.008,0.609,0.999,FALSE,1.68141666666667,6.31586666666666,0.601,0.65
"282",1769,1769,1,1250,1,1,0.414578036172315,-0.338237416464835,8,32,2,2,1,1.68975267186761,2.68668688138326,0.473,0.947,0.691,0.691,0.0389,3.10945,0.234,0.947,0.691,0.691,0.13795,0.979366666666666,0.999,1,1,1,1,0.797,0.021,0.322,0.485,0.102,0.887,0.147,0.138,0.104,-0.013,0.359,0.032,0.322,0.485,0.149,0.8,0.125,TRUE,0.841416666666666,3.07055,0.651,0.785
"283",1820,1820,1,12581,7,1,0.144858134677634,0,2,8,2,2,1,0,2.56601781050364,0,0,0.407,0.407,-0.438,2.85,0.559,0,0.407,0.407,-0.284733333333333,0.949683333333333,0.999,-1,1,-1,1,0.999,0.466,0,0.297,0.011,0.772,0.549,0,-0.035,-0.108,0.395,0.427,0,0.297,0.017,0.848,0.771,FALSE,1.23441666666667,3.288,0.831,0.761
"284",1838,1838,1,12602,8,1,0.881937826517969,-0.769881567452103,2,8,2,2,0.5,1.17097434960306,2.67422294616699,-0.371,-0.742,-0.632,-0.632,-4.064,-0.466283333333335,0.26,-0.742,-0.632,-0.632,-0.9311,0.0683666666666666,0.653,-1,-1,-1,-1,0.823,0.024,0.727,0.834,0.528,1.14,0,0.704,0.468,0.27,0.939,0.062,0.727,0.834,0.499,1.175,0,TRUE,0.999466666666667,3.59771666666667,0.676,0.612
"285",1842,1842,1,12606,8,1,0.745804453501478,0.388051274232566,2,8,2,2,0.5,0.750622254796326,2.62694077889125,0.309,0.617,0.346,0.346,-0.105,6.74,0.542,0.617,0.346,0.346,-0.0706833333333333,0.945733333333333,0.651,1,1,-1,1,0.815,0.017,0.745,0.566,0.381,0.751,0.001,0.74,0.477,0.278,0.816,0.032,0.745,0.566,0.375,0.752,0,TRUE,1.01641666666667,6.845,0.377,0.37
"286",1844,1844,1,12608,8,1,0.504115623654798,-0.306279832497239,2,8,2,2,0.5,1.93640103982762,2.60290724436442,0.044,0.089,0.129,0.129,-0.868,7.976,0.841,0.089,0.129,0.129,-0.872716666666667,0.911366666666667,0.688,1,1,-1,1,0.826,0.133,0.655,0.739,0.254,1.233,0,0.571,0.27,0.178,0.663,0.049,0.655,0.739,0.152,1.279,0.049,TRUE,1.78408333333333,8.844,1.127,0.979
"287",1856,1856,1,12619,8,1,0.609072872903198,-0.49938395107165,2,8,2,2,0.5,1.45794302970171,2.6694131175677,-0.23,-0.46,-0.833,-0.833,-513.776,224.411,0.136,-0.46,-0.833,-0.833,-0.965,0.652683333333333,0.34,-1,-1,-1,1,0.817,0.012,0.778,0.724,0.505,0.944,0,0.806,0.699,0.564,0.98,0.026,0.778,0.724,0.492,0.966,0,TRUE,1.61768333333333,738.187,0.474,0.439
"288",1857,1857,1,1261,1,1,0.594998711487278,0.768157802522182,8,128,4,4,1,3.56588928541169,4.32698009411494,0.438,0.584,0.472,0.472,-0.00371666666666667,3.7524,0.27,0.584,0.472,0.472,0.0362666666666667,0.75405,0.22,0.617,0.526,0,0.875,0.483,0,0.643,0.651,0.507,0.819,0,0.556,0.249,0.183,0.409,0,0.643,0.651,0.529,0.796,0,TRUE,0.717783333333333,3.75611666666667,0.267,0.312
"289",1867,1867,1,12629,8,1,0.737661379389465,-0.63997772987932,2,8,2,2,0.5,1.65506663592532,2.4775940100352,0.138,0.277,-0.091,-0.091,-5.377,5.031,0.836,0.277,-0.091,-0.091,-0.914416666666667,0.672733333333333,0.65,1,-1,-1,1,0.82,0.041,0.776,0.894,0.481,1.307,0,0.803,0.446,0.282,0.789,0.028,0.776,0.894,0.452,1.309,0,TRUE,1.58715,10.408,0.857,0.826
"290",1871,1871,1,12632,8,1,0.95145081426017,-0.506680374965072,2,8,2,2,0.5,0.921083208173513,2.60985455513,-0.352,-0.703,-0.195,-0.195,-3.93276666666667,0.794,0.701,-0.703,-0.195,-0.195,-0.942516666666667,0.416366666666667,0.673,-1,-1,-1,1,0.835,0,0.791,0.889,0.801,0.979,0,0.834,0.881,0.855,0.94,0.008,0.791,0.889,0.703,1.083,0,TRUE,1.35888333333333,4.72676666666667,0.38,0.178
"291",1875,1875,1,12636,8,1,0.604824504349381,0.868937526363879,2,8,2,2,0.5,1.62512610247359,2.51592789491018,-0.389,-0.779,-0.986,-0.986,-4.436,-0.521,0.02,-0.779,-0.986,-0.986,-0.99,-0.352633333333333,0.326,-1,-1,-1,-1,0.824,0.043,0.397,0.484,0.247,0.724,0,0.21,0.261,0.093,0.594,0.123,0.397,0.484,0.27,0.704,0,TRUE,0.637366666666667,3.915,0.434,0.477
"292",1877,1877,1,12638,8,1,0.996741267619655,0.947243187576532,2,8,2,2,0.5,0.700213408097625,2.66946551799774,-0.071,-0.143,-0.644,-0.644,-4.877,-0.098,0.293,-0.143,-0.644,-0.644,-0.975366666666667,0.343599999999998,0.999,-1,-1,-1,-1,0.823,0.136,0.73,0.295,0.086,0.506,0.702,0.711,0.144,0.033,0.503,0.217,0.73,0.295,0.02,0.683,0.529,TRUE,1.31896666666667,4.779,0.663,0.42
"293",1878,1878,1,12639,8,1,0.598314462229609,-0.12501756940037,2,8,2,2,0.5,1.56687389640138,2.52154829104741,0.014,0.028,-0.055,-0.055,-31.058,2.26308333333327,0.926,0.028,-0.055,-0.055,-0.886683333333333,0.651133333333332,0.682,1,-1,-1,1,0.835,0.026,0.723,0.755,0.463,1.041,0,0.696,0.538,0.445,0.918,0.005,0.723,0.755,0.416,1.063,0,TRUE,1.53781666666667,33.3210833333333,0.647,0.578
"294",1894,1894,1,12653,8,1,0.438221022021025,0.0511585879139602,2,32,4,4,0.5,3.30755102867261,5.50437491337458,0.239,0.319,0.403,0.403,-0.03405,4.35693333333333,0.335,0.319,0.403,0.403,-0.0328333333333333,0.788366666666667,0.347,0.973,0.654,-0.018,0.934,0.349,0,0.666,0.675,0.553,0.808,0,0.703,0.57,0.528,0.785,0.001,0.666,0.675,0.559,0.827,0,TRUE,0.8212,4.39098333333333,0.268,0.255
"295",1896,1896,1,12655,8,1,0.226655177539214,-0.351121291983873,2,32,4,4,0.5,1.63163915037876,4.54479448397954,0.375,0.501,0.202,0.202,-5.19366666666667,5.08325,0.638,0.501,0.202,0.202,-0.511733333333333,0.66305,0.624,0.552,0.221,-0.79,0.914,0.793,0.001,0.745,0.765,0.643,0.942,0,0.831,0.579,0.563,0.848,0,0.745,0.765,0.642,0.966,0,TRUE,1.17478333333333,10.2769166666667,0.324,0.299
"296",1903,1903,1,12661,8,1,0.513558216392994,-0.770028663799167,2,32,4,4,0.5,1.64202013230184,4.26157892942429,-0.424,-0.565,-0.706,-0.706,-4.9515,-0.933,0.068,-0.565,-0.706,-0.706,-0.895683333333333,-0.174266666666667,0.069,-0.741,-0.812,-0.977,-0.45,0.188,0,0.729,0.686,0.589,0.825,0,0.833,0.531,0.503,0.73,0.002,0.729,0.686,0.602,0.861,0,TRUE,0.721416666666666,4.0185,0.259,0.236
"297",1906,1906,1,12664,8,1,0.347863608505577,0.564855999313295,2,32,4,4,0.5,1.50492419743212,3.94064351717631,-0.165,-0.22,-0.296,-0.296,-3.6305,0.113366666666667,0.492,-0.22,-0.296,-0.296,-0.688366666666667,0.0793666666666666,0.49,-0.227,-0.531,-0.964,0.063,0.491,0,0.619,0.691,0.617,0.83,0,0.601,0.517,0.505,0.715,0.001,0.619,0.691,0.587,0.863,0,TRUE,0.767733333333334,3.74386666666667,0.276,0.213
"298",1916,1916,1,12673,8,1,0.833458613138646,-0.44052572036162,2,32,4,4,0.5,1.88145440757507,4.34874877532323,-0.042,-0.056,0.464,0.464,0.164266666666667,10.65105,0.275,-0.056,0.464,0.464,-0.0693,0.837199999999999,0.277,-0.078,0.904,0.072,0.995,0.105,0,0.726,0.814,0.725,0.922,0,0.826,0.732,0.709,0.898,0,0.726,0.814,0.713,0.945,0,TRUE,0.906499999999999,10.4867833333333,0.232,0.197
"299",1918,1918,1,12675,8,1,0.880273578455672,0.950532014016062,2,32,4,4,0.5,3.10261312453076,4.21541666587194,-0.517,-0.69,-0.466,-0.466,-4.22551666666667,-0.291533333333334,0.255,-0.69,-0.466,-0.466,-0.851683333333333,-0.0834833333333339,0.241,-0.856,-0.75,-0.959,-0.341,0.273,0.004,0.756,0.69,0.566,0.856,0,0.671,0.399,0.371,0.681,0.017,0.756,0.69,0.564,0.869,0,TRUE,0.768199999999999,3.93398333333334,0.305,0.29
"300",1931,1931,1,12687,8,1,0.0363101258408278,0.6919468017295,2,32,4,4,0.5,3.72112091071904,4.63377007246017,-0.28,-0.373,-0.202,-0.202,-5.70146666666667,1.14391666666666,0.63,-0.373,-0.202,-0.202,-0.770366666666667,0.266683333333333,0.618,-0.373,-0.598,-0.971,0.609,0.401,0,0.768,0.769,0.698,0.851,0,0.899,0.752,0.739,0.879,0,0.768,0.769,0.636,0.929,0,TRUE,1.03705,6.84538333333333,0.293,0.153
"301",1937,1937,1,12692,8,1,0.0830787036102265,-0.362599344924092,2,32,4,4,0.5,1.71571713397978,4.331150106589,0.215,0.287,0.164,0.164,-2.12696666666667,1.54036666666667,0.722,0.287,0.164,0.164,-0.42315,0.533733333333333,0.705,0.592,0.353,-0.715,0.756,0.67,0.001,0.574,0.617,0.517,0.793,0,0.555,0.481,0.484,0.724,0.002,0.574,0.617,0.511,0.83,0,TRUE,0.956883333333333,3.66733333333334,0.319,0.276
"302",1942,1942,1,12697,8,1,0.290911732474342,0.794093077536672,2,32,4,4,0.5,1.20776956832735,4.37737584114075,-0.479,-0.639,-0.497,-0.497,-7.16456666666667,-0.337633333333333,0.224,-0.639,-0.497,-0.497,-0.865783333333333,0.0418333333333328,0.193,-0.651,-0.823,-0.987,-0.126,0.186,0,0.64,0.706,0.644,0.819,0,0.833,0.674,0.658,0.86,0,0.64,0.706,0.613,0.864,0,TRUE,0.907616666666666,6.82693333333334,0.251,0.175
"303",1954,1954,1,12707,8,1,0.406392309814692,0.369965784717351,2,128,8,8,0.5,5.14979893853888,12.0906769593557,0.082,0.094,0.071,0.071,-0.963666666666667,2.257,0.809,0.094,0.071,0.071,-0.208416666666667,0.352683333333333,0.796,0.124,0.098,-0.233,0.407,0.815,0,0.746,0.799,0.776,0.868,0,0.819,0.643,0.669,0.778,0,0.746,0.799,0.766,0.892,0,TRUE,0.5611,3.22066666666667,0.126,0.092
"304",1961,1961,1,12713,8,1,0.252182167721912,-0.286664593964815,2,128,8,8,0.5,3.77760600112379,13.0565979282061,-0.279,-0.319,-0.33,-0.33,-3.69101666666667,-0.510383333333334,0.27,-0.319,-0.33,-0.33,-0.568683333333333,-0.0935833333333336,0.278,-0.489,-0.455,-0.642,-0.165,0.255,0,0.669,0.788,0.748,0.859,0,0.747,0.636,0.664,0.769,0,0.669,0.788,0.741,0.88,0,TRUE,0.475099999999999,3.18063333333334,0.139,0.111
"305",1962,1962,1,12714,8,1,0.579760370776057,0.0689164903014898,2,128,8,8,0.5,6.0039793131873,13.3537508885066,-0.101,-0.115,-0.014,-0.014,-2.65425,1.80603333333333,0.956,-0.115,-0.014,-0.014,-0.306683333333333,0.2981,0.967,-0.195,-0.02,-0.324,0.286,0.954,0,0.744,0.753,0.714,0.83,0,0.829,0.641,0.682,0.8,0,0.744,0.753,0.713,0.854,0,TRUE,0.604783333333333,4.46028333333333,0.141,0.116
"306",1978,1978,1,12729,8,1,0.918178312014788,-0.864899178501219,2,128,8,8,0.5,7.41813614405692,12.7469687859217,-0.147,-0.168,-0.189,-0.189,-2.82241666666667,0.430566666666666,0.545,-0.168,-0.189,-0.189,-0.421683333333333,0.111,0.534,-0.202,-0.195,-0.444,0.066,0.657,0,0.648,0.652,0.628,0.734,0,0.76,0.602,0.623,0.76,0,0.648,0.652,0.631,0.757,0,TRUE,0.532683333333333,3.25298333333334,0.126,0.106
"307",1995,1995,1,12744,8,1,0.352120647672564,0.798300368711352,2,128,8,8,0.5,4.43636687006801,12.0408918301264,0.177,0.203,0.169,0.169,-0.4136,2.704,0.586,0.203,0.169,0.169,-0.102733333333333,0.42305,0.589,0.414,0.325,-0.108,0.621,0.44,0,0.742,0.822,0.792,0.891,0,0.844,0.7,0.732,0.826,0,0.742,0.822,0.78,0.939,0,TRUE,0.525783333333333,3.1176,0.159,0.099
"308",2014,2014,1,12806,8,1,0.796433407114819,-0.745525331236422,4,16,2,2,0.5,1.2670870856382,2.77769908110301,0.443,0.886,0.984,0.984,0.536316666666667,4.14134999999999,0.011,0.886,0.984,0.984,0.449266666666667,0.989683333333333,0.351,1,1,1,1,0.817,0.002,0.595,0.535,0.293,0.772,0,0.472,0.276,0.097,0.579,0.018,0.595,0.535,0.324,0.757,0,TRUE,0.540416666666666,3.60503333333332,0.433,0.479
"309",2023,2023,1,12814,8,1,0.961767359869555,-0.501224402338266,4,16,2,2,0.5,1.72819517739117,2.59300494988759,0.45,0.899,0.372,0.372,-8.70261666666667,23.9631999999999,0.543,0.899,0.372,0.372,-0.406,0.946366666666667,0.664,1,1,-1,1,0.802,0.002,0.762,0.736,0.439,1.048,0,0.775,0.465,0.271,0.734,0.002,0.762,0.736,0.466,0.993,0,TRUE,1.35236666666667,32.6658166666666,0.527,0.609
"310",2027,2027,1,12818,8,1,0.993082994362339,0.259979153983295,4,16,2,2,0.5,0.798981717322022,2.62565661668777,-0.035,-0.07,0.468,0.468,-3.59176666666667,18.6860166666667,0.439,-0.07,0.468,0.468,-0.299683333333333,0.954683333333333,0.333,-1,1,-1,1,0.829,0,0.796,0.937,0.709,1.176,0,0.845,0.705,0.57,0.864,0,0.796,0.937,0.725,1.157,0,TRUE,1.25436666666667,22.2777833333334,0.432,0.467
"311",2036,2036,1,12826,8,1,0.441808094503358,0.589286884758621,4,16,2,2,0.5,1.33573005534708,2.52716952164968,0.052,0.104,-0.388,-0.388,-220.48905,311.194266666666,0.537,0.104,-0.388,-0.388,-0.92705,0.932366666666667,0.326,1,-1,-1,1,0.823,0,0.78,0.98,0.795,1.156,0,0.811,0.843,0.764,0.949,0,0.78,0.98,0.756,1.214,0,TRUE,1.85941666666667,531.683316666666,0.458,0.361
"312",2042,2042,1,12831,8,1,0.0613179167266935,0.453688627108932,4,16,2,2,0.5,1.43382942909375,3.13522492249807,-0.49,-0.98,-0.946,-0.946,-7.5542,-0.515433333333334,0.049,-0.98,-0.946,-0.946,-0.985366666666667,-0.233633333333333,0.312,-1,-1,-1,-1,0.82,0,0.803,0.881,0.734,1.052,0,0.86,0.73,0.677,0.815,0,0.803,0.881,0.703,1.057,0,TRUE,0.751733333333334,7.03876666666667,0.354,0.318
"313",2043,2043,1,12832,8,1,0.00131215574219823,0.436333604156971,4,16,2,2,0.5,1.81500963727012,3.13879866600037,0.285,0.569,0.507,0.507,-23.25045,41.3100666666666,0.383,0.569,0.507,0.507,-0.4791,0.966366666666666,0.302,1,1,-1,1,0.841,0,0.8,0.815,0.623,0.978,0,0.854,0.747,0.59,0.917,0,0.8,0.815,0.634,0.989,0,TRUE,1.44546666666667,64.5605166666666,0.355,0.355
