"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
9,2,2,2.82076244555574,1.31667611178392,4.60564447690379
9,3,4.5,5.1006296907695,2.38787809387387,8.26714671062601
9,4,8,8.42159270192983,4.0080582650574,13.1382743000199
9,5,12.5,11.2274036936437,5.94823327247279,18.1707870900553
10,1,0.5,0.32112958825022,0.0116342974437766,0.758633329218017
10,2,2,1.94632128882493,0.863381917438768,3.36475280698644
10,3,4.5,3.92713996033828,1.88958008637057,6.49875883696143
10,4,8,7.5083478762386,4.2925006852634,11.3621064322809
10,5,12.5,13.4446665399469,7.73342550635733,19.94723529939
1,1,0.5,-0.232321417596587,-1.09671429778401,0.358324750686428
1,2,2,2.2166804733954,-9.44182838394558,13.1826005617466
1,3,4.5,5.26884752681112,-2.19799468193764,14.9197413834517
1,4,8,13.469261887775,-2.77743624559329,38.7446296408291
1,5,12.5,15.2562087422081,-7.82169210708562,42.863393578976
2,1,0.5,0.169341326480855,-0.549359396764938,1.04256273944687
2,2,2,2.08511631841578,-0.496777945437158,5.55878271495238
2,3,4.5,7.35256370692728,-0.97946925446788,17.9947594156785
2,4,8,11.7578553911531,0.169027925544294,25.5776121794741
2,5,12.5,11.0185462176329,1.7268363322288,24.6673187901649
3,1,0.5,0.798677805763525,-0.00323700533249907,2.03810182640205
3,2,2,2.50293095127868,0.438744286362914,5.34887040529076
3,3,4.5,2.98685052089538,-0.323994513303306,6.74479499358395
3,4,8,9.17042553564309,2.29212261124083,18.1676307310877
3,5,12.5,10.9858830437676,2.94039633510483,22.2173237110135
4,1,0.5,0.365991691063678,-0.859288013671926,1.57803414591406
4,2,2,1.72191731140181,0.255772859347765,3.6516846394875
4,3,4.5,3.76922623742502,0.934440668669318,7.64014655081377
4,4,8,9.88835032331562,3.03375228805841,18.5052143394451
4,5,12.5,14.355005327527,4.76467690209537,25.9136575510696
5,1,0.5,1.3326006016347,0.21199209202571,2.9449711121675
5,2,2,2.5307479246447,0.664216924295103,5.32680815808794
5,3,4.5,5.12275925254816,1.67049266462023,9.65148587334373
5,4,8,8.97777568113412,3.27282910212929,16.2267768692374
5,5,12.5,12.9483364625505,5.14455407173032,22.2275997840424
6,1,0.5,0.53082070594708,0.0235304138740231,1.25258199535377
6,2,2,2.55737829057725,0.563997928303026,4.6417402357923
6,3,4.5,4.68230843238976,1.77063181281389,8.48677237632743
6,4,8,8.11526870887709,3.07687370747958,14.4785810336719
6,5,12.5,13.8828165532194,6.52499978348894,23.1153138786936
7,1,0.5,0.710435604250832,0.121761861766082,1.42267282226078
7,2,2,2.23013580426178,0.669815948589092,4.04930996447268
7,3,4.5,3.97620150473102,1.77906578902445,7.23608216182742
7,4,8,7.60927541439727,3.77181294814316,12.63995363236
7,5,12.5,13.2730567693014,6.26905914411109,22.2593551102887
8,1,0.5,0.332956044138079,0.0171114478708212,0.763298103225509
8,2,2,1.15292128083818,-0.00260730637404371,2.33893121362012
8,3,4.5,4.85291965786993,2.26901630887129,7.9017877993376
8,4,8,8.19117671237652,3.96360531662844,13.490041104519
8,5,12.5,10.0577602160206,4.96847340257976,16.7132209315989
9,1,0.5,0.258457921717811,0.00844730551161996,0.639921637669687
9,2,2,2.23818887643866,0.925437709636044,3.83001928945564
9,3,4.5,4.81156666347912,2.27936117720487,7.76096958931195
9,4,8,9.37371535700285,4.99252542010762,14.9050342222978
9,5,12.5,12.6582910883759,6.93376554120767,19.2794038277476
10,1,0.5,0.486662773991599,-0.138938714852819,1.24364348625095
10,2,2,2.01524418953639,0.9023726122012,3.51929763740266
10,3,4.5,4.35868847576304,2.31034868339253,7.13338204610881
10,4,8,7.46601027223302,4.1553779504906,11.1521544922447
10,5,12.5,9.80369273534005,5.3777474335017,15.1185815944614
